,,,,
,補助科目,施策科目,意味・具体例,留意事項・必要報告等
,ア. 市場調査費,市場・顧客調査,ターゲット顧客、市場ニーズ、競合状況、検索需要などを把握するための調査。例：競合サイト調査、既存顧客整理、想定顧客層確認など,外部委託に限る。 市場調査報告書を提出する。調査手法、分析結果、Webマーケティング計画への反映内容を記載する。
,ア. 市場調査費,販路・訴求方針調査,どの顧客層に、どの強みを訴求するかを整理するための調査。例：用途別訴求整理、業種別ターゲット整理、商流・販路確認など,外部委託に限る。 市場調査報告書を提出する。調査結果とWebサイト企画、コンテンツ方針、広告方針等との関係を記載する。
,ア. 市場調査費,その他市場調査,上記に当てはまらないが、Webサイト企画立案に必要な調査,外部委託に限る。 市場調査報告書を提出する。Webサイトの企画立案に直接必要な調査内容として記載する。
,イ. Webサイト構築費,LP制作,特定の商品・サービス・広告施策などに対応するランディングページを制作するもの。例：新商品紹介LP、問い合わせ獲得用LPなど,Webマーケティング実施報告書に、制作目的、対象顧客、公開URL、導線、成果指標を記載する。サーバー利用料、ドメイン維持管理料、月額保守費用は計上しない。
,イ. Webサイト構築費,新規Webサイト制作,会社サイト、サービスサイト、ブランドサイトなどを新たに制作するもの。例：未整備の公式サイト新設、新規事業サイト制作など,Webマーケティング実施報告書に、制作目的、ターゲット、ページ構成、公開URL、問い合わせ等への導線を記載する。サーバー利用料、ドメイン維持管理料、月額保守費用は計上しない。
,イ. Webサイト構築費,Webサイト全面リニューアル,既存サイトを構成・デザイン・内容・機能面から全面的に再構築するもの。例：古いホームページの全面刷新、サイト構成の抜本見直しなど,Webマーケティング実施報告書に、既存サイトの課題、リニューアル内容、改善した導線、公開URLを記載する。サーバー利用料、ドメイン維持管理料、月額保守費用は計上しない。
,イ. Webサイト構築費,既存Webサイト改修・機能改善,既存サイトの一部ページ、導線、デザイン、フォーム、更新機能などを改善するもの。例：ページ追加、フォーム改善、CMS機能改善など,Webマーケティング実施報告書に、改修前の課題、改修箇所、改修内容、公開URLを記載する。通常運用として行う月額保守費用は計上しない。
,イ. Webサイト構築費,SEO内部対策・表示改善,検索エンジンや利用者にとって見やすく使いやすいサイトに整えるもの。例：タイトル・見出し整理、内部リンク改善、スマホ対応、表示速度改善など,SEO外部対策は対象としない。 内部対策施策書および施策実施報告書を提出する。対象ページ、実施項目、実施目的、実施箇所、反映後の状態を記載する。
,イ. Webサイト構築費,その他Webサイト構築・改修,上記に当てはまらないWebサイト構築・改修に関する施策,Webマーケティング実施報告書に、制作・改修内容、目的、公開URL、成果指標を記載する。汎用性の高い機器、事務用ソフトウェア、消耗品は計上しない。
,ウ. コンテンツ制作費,訴求コンテンツ制作,自社の強み、商品・サービスの価値、導入メリットなどを伝える文章・構成を制作するもの。例：原稿作成、コピー制作、製品説明、導入事例、FAQ作成など,Webマーケティング実施報告書に、制作内容、掲載ページ、使用目的を記載する。納品原稿、掲載画面、制作データを確認資料として整理する。
