metric,mall_a,fleamarket_b,auction_c,owned_d,own_store,total
全ユーザー,"40,000","30,000","20,000","10,000","6,000","106,000"
商品一覧,"3,000","15,000","10,000","5,000","3,000","36,000"
商品詳細,300,300,"1,000",500,300,"2,400"
カート,30,30,30,50,30,170
CV,6,6,6,4,6,28
平均客単価,"¥5,000","¥5,000","¥5,000","¥5,000","¥5,000","¥5,000"
売上,"¥30,000","¥30,000","¥30,000","¥20,000","¥30,000","¥140,000"
商品一覧到達率(%),7.50*,50.00,50.00,50.00,50.00,33.96
商品詳細到達率(%),10.00,2.00*,10.00,10.00,10.00,6.67
カート到達率(%),10.00,10.00,3.00*,10.00,10.00,7.08
CVR(%),20.00,20.00,20.00,8.00*,20.00,16.47
